Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
24414	0	0	0	3958.5	2692.5	794.5	165.167	0	0	34.167	
25646	0	0	0	4815.833	3155.167	1023.833	182.5	0	0	100.833	
