Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
3697	0	0	0	0	0	0	0	0	0	89	
4929	0	0	0	0	8.333	0	0	0	0	97	
