Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
17847	0	0	0	2270.433	1526.1	504.767	86.433	0	0	142.767	
19079	0	0	0	2385.983	1616.983	480.317	127.317	0	0	128.317	
20312	0	0	0	1549.533	1066.533	308.867	9.867	0	0	89.867	
21544	0	0	0	0	0	0	0	0	0	79.883	
