Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
15710	0	0	0	1789.917	1213.917	365.25	47.917	0	0	28.917	
16942	0	0	0	2294.134	1561.8	503.8	39.8	0	0	44.133	
18268	0	0	0	2141.45	1512.45	432.117	25.783	0	0	135.45	
