Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
23525	0	0	0	2264.9	1566.233	500.567	41.567	0	0	41.9	
24758	0	0	0	3327.566	2244.9	693.233	75.9	0	0	52.567	
25990	0	0	0	3325.8	2140.467	699.133	117.134	0	0	67.467	
