Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
20327	0	0	0	3937.933	2572.6	805.6	153.267	0	0	45.6	
21560	0	0	6.85	4690.517	3171.85	958.183	215.183	0	0	58.517	
22792	0	0	0	3524.35	2187.683	655.35	135.683	0	0	66.35	
