Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
26645	0	0	0	3292.717	2119.717	677.717	60.05	0	0	79.05	
27877	0	0	0	4457.767	2756.434	898.433	141.1	0	0	81.1	
