Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
9126	0	0	0	1510.2	1138.867	328.2	36.533	0	0	44.533	
10358	0	0	0	2004.8	1441.133	479.467	54.8	0	0	86.467	
11591	0	0	0	566.483	431.483	120.483	0	0	0	61.483	
