Time(msec)	Counts@400nm	Counts@450nm	Counts@500nm	Counts@550nm	Counts@600nm	Counts@650nm	Counts@700nm	Counts@750nm	Counts@800nm	Counts@850nm	
5070	0	0	0	3293.617	2218.283	665.95	113.617	0	0	65.283	
6303	0	8.783	0	4763.117	3096.783	973.117	154.783	0	0	127.783	
7535	0	0	0	4729.184	3124.184	940.183	170.85	0	0	77.517	
